task,missing_pct,Delta_10,Delta_MCAR,Delta_Shift
2079,4.305135726928711,-0.007141957605923066,-0.022324880587330287,-0.011319743596266973
3021,22.215675354003906,0.008450704225352101,0.026699326393141543,-0.018493570116350222
14954,5.258344650268555,-0.045582047685834404,-1.1102230246251565e-16,0.006311360448807868
146800,1.7316017150878906,-0.013347726571820817,-0.020305601294838937,-0.04656422741867783
2,0.0,0.11000376094011044,0.1550668621179967,0.1953914716207924
15,0.24730612337589264,0.010869565217391353,0.015398550724637805,-0.0018115942028986698
29,0.6172839403152466,-0.002564102564102555,0.00512820512820511,0.006837606837606813
3904,0.009722141548991203,0.0464973172548554,0.04179576590484624,0.16606570296559398
7592,0.0,-0.0024491229750249754,0.011710394373485866,-0.001439915801182523
6,0.0,0.0006770406585431266,0.0005661041967991443,-0.02099881483519661
32,0.0,-5.358404997590771e-05,0.010721478554534536,0.034713668524697816
37,0.0,0.01925925925925931,0.05481481481481476,0.10518518518518527
43,0.0,-0.008133443617314606,0.016010870849580527,0.09972822876048681
53,0.0,0.003936410811410607,0.04745383089133093,0.07125582750582748
