method,avg_auc_10pct,delta_vs_ours,holm_adjusted_p
Ours (mask-and-recover),0.8954154923916919,0.0,
VIME,0.8977959902296664,-0.002380497837974449,0.459228515625
SCARF,0.8943194753879069,0.0010960170037850325,1.0
SubTab,0.8913221258614532,0.004093366530238729,1.0
