method,avg_auc_10pct
Random Forest,0.9015470349404807
SSL Pretrained (Ours),0.8954154923916919
Scratch (No Pretrain),0.8899320989058916
LightGBM,0.8874930287843841
XGBoost,0.8819408979523774
Logistic Regression,0.8266054349824502
